disasterNumber,state,designatedArea,incidentType,incidentType_clean,declarationDate,incidentBeginDate,incidentEndDate,declaration_year,cohort_5yr,decade,response_latency_days,ia_flag,pa_flag,hm_flag,fipsStateCode,fipsCountyCode,placeCode
4312,CA,Resighini Rancheria (Indian Reservation),Severe Storm,Severe Storm(s),2017-05-02,2017-02-08,2017-02-11,2017,2015–2019,2010s,83,False,True,True,6,0,60347
4251,AL,Autauga (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,1,99001
4251,AL,Barbour (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,5,99005
4251,AL,Blount (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,9,99009
4251,AL,Bullock (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,11,99011
4251,AL,Butler (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,13,99013
4251,AL,Chambers (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,17,99017
4251,AL,Cherokee (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,19,99019
4251,AL,Clay (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,27,99027
4251,AL,Cleburne (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,29,99029
4251,AL,Coffee (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,31,99031
4251,AL,Colbert (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,33,99033
4251,AL,Conecuh (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,35,99035
4251,AL,Covington (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,39,99039
4251,AL,Crenshaw (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,41,99041
4251,AL,Cullman (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,43,99043
4251,AL,Dale (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,45,99045
4251,AL,DeKalb (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,49,99049
4251,AL,Elmore (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,51,99051
4251,AL,Escambia (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,53,99053
4251,AL,Fayette (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,57,99057
4251,AL,Franklin (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,59,99059
4251,AL,Geneva (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,61,99061
4251,AL,Henry (County),Severe Storm,Severe Storm(s),2016-01-21,2015-12-23,2015-12-31,2016,2015–2019,2010s,29,False,True,True,1,67,99067
