State,Declarations,Mean Latency,IA Rate,PA Rate,SVI,Alpha (λ=1.0),Alpha (λ=0.5),Alpha (λ=1.5),IA_unweighted,IA_weighted,Allocation_uplift_%
MS,874,26.61670480549199,33.86727688787185,88.90160183066361,0.74,1.24,1.12,1.36,450.0,558.0,24.0
WV,584,26.222602739726028,38.18493150684932,91.0958904109589,0.72,1.22,1.11,1.33,450.0,549.0,22.0
LA,920,13.469565217391304,38.15217391304348,96.41304347826087,0.7,1.2,1.1,1.3,450.0,540.0,20.0
KY,1685,33.170919881305636,27.71513353115727,91.2759643916914,0.66,1.16,1.08,1.24,450.0,522.0,16.0
AL,561,16.97504456327986,44.919786096256686,84.31372549019608,0.65,1.15,1.075,1.225,450.0,517.5,15.0
AR,782,30.796675191815858,30.179028132992325,93.47826086956522,0.63,1.13,1.065,1.195,450.0,508.5,13.0
NM,150,40.26,11.333333333333332,86.0,0.61,1.11,1.055,1.165,450.0,499.5,11.0
TN,833,34.021608643457384,31.812725090036015,94.59783913565425,0.6,1.1,1.05,1.15,450.0,495.0,10.0
SC,389,25.539845758354755,32.13367609254499,91.77377892030847,0.58,1.08,1.04,1.12,450.0,486.0,8.0
OK,1224,29.955065359477125,23.12091503267974,93.87254901960785,0.57,1.07,1.035,1.105,450.0,481.5,7.0
GA,874,16.899313501144164,27.45995423340961,97.7116704805492,0.55,1.05,1.025,1.075,450.0,472.5,5.0
AK,131,52.16793893129771,25.190839694656486,100.0,0.55,1.05,1.025,1.075,450.0,472.5,5.0
MO,1399,37.08934953538242,33.16654753395282,87.49106504646176,0.54,1.04,1.02,1.06,450.0,468.0,4.0
NC,536,14.763059701492537,56.90298507462687,88.61940298507463,0.53,1.03,1.015,1.045,450.0,463.5,3.0
AZ,76,49.28947368421053,3.9473684210526314,90.78947368421053,0.53,1.03,1.015,1.045,450.0,463.5,3.0
TX,1844,22.426247288503255,31.39913232104121,95.11930585683297,0.52,1.02,1.01,1.03,450.0,459.0,2.0
FL,1050,13.51142857142857,47.333333333333336,92.0952380952381,0.51,1.01,1.005,1.015,450.0,454.5,1.0
MI,82,43.53658536585366,47.5609756097561,57.3170731707317,0.5,1.0,1.0,1.0,450.0,450.0,0.0
NV,34,43.794117647058826,2.941176470588235,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
SD,568,54.48943661971831,11.619718309859154,99.64788732394366,0.5,1.0,1.0,1.0,450.0,450.0,0.0
VI,25,25.96,20.0,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
PR,528,12.628787878787879,65.3409090909091,90.9090909090909,0.5,1.0,1.0,1.0,450.0,450.0,0.0
MP,26,18.192307692307693,46.15384615384615,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
GU,9,27.88888888888889,22.22222222222222,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
AS,26,18.423076923076923,61.53846153846154,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
IN,543,25.16022099447514,67.95580110497238,61.51012891344383,0.5,1.0,1.0,1.0,450.0,450.0,0.0
FM,6,17.666666666666668,16.666666666666664,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
DC,11,40.0,9.090909090909092,100.0,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
OH,435,34.170114942528734,39.54022988505747,65.28735632183908,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
CA,426,43.208920187793424,28.638497652582164,94.60093896713614,0.48,0.98,0.99,0.97,450.0,441.0,-2.0
