State,Declarations,Mean Latency,IA Rate,PA Rate,SVI,Alpha (λ=1.0),Alpha (λ=0.5),Alpha (λ=1.5),IA_unweighted,IA_weighted,Allocation_uplift_%
MS,957,30.899686520376175,39.60292580982236,89.86415882967607,0.74,1.24,1.12,1.36,450.0,558.0,24.0
WV,639,30.33489827856025,43.50547730829421,91.8622848200313,0.72,1.22,1.11,1.33,450.0,549.0,22.0
LA,991,17.089808274470233,42.583249243188696,96.67003027245207,0.7,1.2,1.1,1.3,450.0,540.0,20.0
KY,1805,35.486426592797784,32.5207756232687,91.85595567867037,0.66,1.16,1.08,1.24,450.0,522.0,16.0
AL,630,22.673015873015874,50.95238095238095,86.03174603174604,0.65,1.15,1.075,1.225,450.0,517.5,15.0
AR,858,34.62354312354312,36.36363636363637,94.05594405594405,0.63,1.13,1.065,1.195,450.0,508.5,13.0
NM,219,51.52054794520548,39.26940639269406,90.41095890410958,0.61,1.11,1.055,1.165,450.0,499.5,11.0
TN,928,38.011853448275865,38.793103448275865,95.15086206896551,0.6,1.1,1.05,1.15,450.0,495.0,10.0
SC,436,30.009174311926607,39.44954128440367,92.66055045871559,0.58,1.08,1.04,1.12,450.0,486.0,8.0
OK,1336,33.81511976047904,29.565868263473057,94.38622754491018,0.57,1.07,1.035,1.105,450.0,481.5,7.0
GA,1034,24.961315280464216,38.684719535783366,98.06576402321083,0.55,1.05,1.025,1.075,450.0,472.5,5.0
AK,215,63.04186046511628,54.418604651162795,100.0,0.55,1.05,1.025,1.075,450.0,472.5,5.0
MO,1514,39.28533685601057,38.24306472919419,88.44121532364598,0.54,1.04,1.02,1.06,450.0,468.0,4.0
NC,642,23.057632398753896,64.01869158878505,90.49844236760126,0.53,1.03,1.015,1.045,450.0,463.5,3.0
AZ,112,57.55357142857143,34.82142857142857,93.75,0.53,1.03,1.015,1.045,450.0,463.5,3.0
TX,2101,27.63398381722989,39.79057591623037,95.7163255592575,0.52,1.02,1.01,1.03,450.0,459.0,2.0
FL,1120,16.729464285714286,50.625,92.58928571428572,0.51,1.01,1.005,1.015,450.0,454.5,1.0
MI,176,56.06818181818182,75.56818181818183,80.11363636363636,0.5,1.0,1.0,1.0,450.0,450.0,0.0
NV,78,61.3974358974359,57.692307692307686,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
SD,775,60.23483870967742,35.225806451612904,82.96774193548387,0.5,1.0,1.0,1.0,450.0,450.0,0.0
VI,28,31.0,28.57142857142857,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
PR,606,19.627062706270628,69.80198019801979,92.07920792079209,0.5,1.0,1.0,1.0,450.0,450.0,0.0
MP,31,26.870967741935484,54.83870967741935,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
GU,10,31.8,30.0,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
AS,31,29.64516129032258,67.74193548387096,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
IN,636,32.301886792452834,72.64150943396226,67.13836477987421,0.5,1.0,1.0,1.0,450.0,450.0,0.0
FM,6,17.666666666666668,16.666666666666664,100.0,0.5,1.0,1.0,1.0,450.0,450.0,0.0
DC,12,42.416666666666664,16.666666666666664,100.0,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
OH,523,40.367112810707454,49.7131931166348,71.1281070745698,0.49,0.99,0.995,0.985,450.0,445.5,-1.0
CA,484,45.460743801652896,37.1900826446281,95.24793388429752,0.48,0.98,0.99,0.97,450.0,441.0,-2.0
ND,624,61.22275641025641,18.108974358974358,97.75641025641025,0.47,0.97,0.985,0.955,450.0,436.5,-3.0
IL,485,40.985567010309275,50.30927835051546,80.82474226804123,0.46,0.96,0.98,0.94,450.0,432.0,-4.0
MT,279,57.784946236559136,36.91756272401434,79.92831541218638,0.46,0.96,0.98,0.94,450.0,432.0,-4.0
KS,1052,53.398288973384034,17.39543726235741,98.38403041825094,0.45,0.95,0.975,0.925,450.0,427.5,-5.0
ME,581,67.99655765920826,80.03442340791739,98.9672977624785,0.45,0.95,0.975,0.925,450.0,427.5,-5.0
HI,39,39.94871794871795,33.33333333333333,97.43589743589743,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
NY,606,37.65841584158416,35.31353135313531,89.10891089108911,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
WY,59,67.15254237288136,45.76271186440678,98.30508474576271,0.44,0.94,0.97,0.91,450.0,423.0,-6.0
PA,417,30.426858513189448,55.39568345323741,75.53956834532374,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
NE,968,47.075413223140494,19.62809917355372,98.24380165289256,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
ID,124,65.20967741935483,39.516129032258064,83.06451612903226,0.43,0.93,0.965,0.895,450.0,418.5,-7.0
IA,996,32.2359437751004,36.64658634538153,95.08032128514057,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
OR,196,52.607142857142854,26.53061224489796,94.38775510204081,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
DE,21,39.095238095238095,33.33333333333333,100.0,0.42,0.92,0.96,0.88,450.0,414.0,-8.0
VA,1005,40.255721393034825,31.44278606965174,95.22388059701493,0.41,0.91,0.955,0.865,450.0,409.5,-9.0
UT,45,70.42222222222222,80.0,100.0,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
WI,373,43.14477211796247,49.865951742627345,83.91420911528151,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
WA,321,52.54205607476636,31.15264797507788,85.04672897196261,0.4,0.9,0.95,0.85,450.0,405.0,-10.0
MD,182,44.20879120879121,26.923076923076923,99.45054945054946,0.39,0.89,0.945,0.835,450.0,400.5,-11.0
CO,195,55.43076923076923,43.07692307692308,68.2051282051282,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
MN,626,48.35143769968051,24.920127795527154,98.40255591054313,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
RI,37,41.027027027027025,43.24324324324324,94.5945945945946,0.38,0.88,0.94,0.82,450.0,396.0,-12.0
VT,213,45.671361502347416,25.352112676056336,100.0,0.37,0.87,0.935,0.805,450.0,391.5,-13.0
NJ,219,27.319634703196346,55.70776255707762,94.06392694063926,0.36,0.86,0.93,0.79,450.0,387.0,-14.0
CT,85,40.55294117647059,52.94117647058824,87.05882352941177,0.33,0.83,0.915,0.745,450.0,373.5,-17.0
MA,124,46.806451612903224,33.87096774193548,81.45161290322581,0.31,0.81,0.905,0.715,450.0,364.5,-19.0
NH,129,41.201550387596896,23.25581395348837,99.2248062015504,0.3,0.8,0.9,0.7,450.0,360.0,-20.0
